"";"GID";"X";"Y"
"X257";66;316953,03784466;7670635,84750045
"X258";66;316859,195421161;7670103,64066984
"X259";67;318353,260550002;7670454,92997627
"X260";67;315549,787124959;7669087,5846257
"X261";67;318353,260550002;7670454,92997627
"X262";67;316000,553052584;7669868,33411467
"X263";67;315549,787124959;7669087,5846257
"X264";67;316000,553052584;7669868,33411467
"X265";68;317477,514093975;7670857,98280809
"X266";68;316480,899261032;7671069,81983029
"X267";68;317477,514093977;7670857,98280809
"X268";68;316069,981377184;7675766,63273481
"X269";68;316480,899261031;7671069,81983029
"X270";68;316069,981377184;7675766,63273481
"X271";69;318170,400646681;7670376,29714915
"X272";69;317398,724209625;7670016,45851693
"X273";69;318170,400646681;7670376,29714915
"X274";69;344414,574202062;7629963,81378694
"X275";69;317398,724209621;7670016,45851693
"X276";69;344414,574202062;7629963,81378694
"X277";70;316696,843530328;7669647,04141552
"X278";70;317522,795086462;7670049,88490602
"X279";70;316696,843530327;7669647,04141552
"X280";70;316940,806396243;7670794,7964601
"X281";70;317522,795086462;7670049,88490602
"X282";70;316940,806396244;7670794,7964601
"X283";71;316898,670542325;7669857,08657772
"X284";71;317957,178692269;7670306,39663012
"X285";71;316898,670542314;7669857,08657772
"X286";71;318221,435520599;7669764,58983983
"X287";71;317957,178692267;7670306,39663012
"X288";71;318221,43552059;7669764,58983983
"X289";79;318099,176708759;7669884,33909634
"X291";79;318099,176708759;7669884,33909634
"X295";80;318038,669546283;7670003,09108907
"X297";80;318038,669546282;7670003,09108907
"X301";81;317662,871637134;7670074,22231659
"X303";81;317662,871637136;7670074,22231659
"X307";82;317832,024238711;7670024,14450788
"X309";82;317832,024238712;7670024,14450788
"X313";83;318216,140755634;7670159,14075563
"X315";83;318216,140755633;7670159,14075563
"X319";84;318417,677013479;7669690,44215004
"X321";84;318417,677013478;7669690,44215004
"X325";85;318315,217409698;7670292,85514916
"X327";85;318315,217409698;7670292,85514916
"X331";86;318287,518650755;7670290,93373834
"X333";86;318287,518650756;7670290,93373834
"X337";87;317674,182155695;7669805,27109794
"X339";87;317674,182155695;7669805,27109794
"X343";88;317723,550841472;7669525,28736784
"X345";88;317723,550841471;7669525,28736784
"X349";89;318429,119949319;7669505,68087156
"X351";89;318429,119949319;7669505,68087156
"X355";90;318451,580377759;7668594,47666122
"X357";90;318451,580377759;7668594,47666122
"X361";91;318609,007389013;7670166,26547158
"X363";91;318609,007389014;7670166,26547158
"X367";92;319143,828585614;7668980,53079312
"X369";92;319143,828585614;7668980,53079312
"X373";94;318235,098024236;7669908,52687378
"X375";94;318235,098024236;7669908,52687378
"X379";95;318172,837106781;7670077,4764567
"X380";95;318053,597357235;7669973,8229238
"X381";95;318172,837106782;7670077,4764567
"X382";95;317951,952554359;7670381,49796117
"X383";95;318053,597357233;7669973,8229238
"X384";95;317951,952554359;7670381,49796117
"X385";96;318322,404977745;7669284,35502656
"X387";96;318322,404977744;7669284,35502656
"X391";97;318444,757845591;7670041,93362632
"X392";97;318533,574594151;7670224,03494709
"X393";97;318444,757845592;7670041,93362632
"X394";97;318803,658261857;7669670,28136565
"X395";97;318533,574594152;7670224,03494709
"X396";97;318803,658261858;7669670,28136565
"X397";98;318467,024102128;7669942,59091681
"X398";98;318068,049092956;7668846,41608818
"X399";98;318467,024102129;7669942,59091681
"X400";98;317730,536906903;7670760,54281284
"X401";98;318068,049092956;7668846,41608818
"X402";98;317730,536906903;7670760,54281284
"X403";99;318014,731244475;7670132,79365626
"X404";99;317424;7669791,73481325
"X405";99;318014,731244476;7670132,79365626
"X406";99;317424;7671115,93554602
"X407";99;317424,000000001;7669791,73481324
"X408";99;317424;7671115,93554602
"X409";101;318250,759368073;7670083,37943045
"X410";101;318127,475924702;7670045,6878993
"X411";101;318250,759368073;7670083,37943045
"X412";101;318043,155193451;7670339,74923538
"X413";101;318127,475924702;7670045,6878993
"X414";101;318043,155193452;7670339,74923538
"X415";102;318231,977136621;7669913,15377994
"X416";102;317424;7669368,16631988
"X417";102;318231,977136621;7669913,15377994
"X418";102;317424;7671111,02914615
"X419";102;317424;7669368,16631988
"X420";102;317424,000000001;7671111,02914615
"X421";103;318560,187183812;7669922,40304749
"X422";103;317424;7667110,24108582
"X423";103;318560,187183813;7669922,40304749
"X424";103;317424;7671098,95931847
"X425";103;317424;7667110,24108582
"X426";103;317423,999999999;7671098,95931847
"X427";104;318385,265942124;7669685,89378
"X428";104;317424;7667951,72411489
"X429";104;318385,265942124;7669685,89378
"X430";104;317424;7671111,02914615
"X431";104;317424;7667951,72411489
"X432";104;317424,000000001;7671111,02914615
"X433";105;318526,830461556;7669917,31307574
"X435";105;318526,830461555;7669917,31307574
"X439";106;318151,365634911;7670032,66524599
"X440";106;317788,195315817;7669907,6156768
"X441";106;318151,365634912;7670032,66524599
"X442";106;317670,408304364;7670745,71381178
"X443";106;317788,195315818;7669907,6156768
"X444";106;317670,408304364;7670745,71381178
"X445";107;318095,488140463;7669806,12080485
"X446";107;317920,439698048;7669683,55056592
"X447";107;318095,488140462;7669806,12080485
"X448";107;317794,755292096;7670396,34225241
"X449";107;317920,439698048;7669683,55056592
"X450";107;317794,755292096;7670396,34225241
"X451";108;318149,335119447;7669908,7751889
"X452";108;317424;7669490,00276244
"X453";108;318149,335119443;7669908,7751889
"X454";108;317424;7671115,93554602
"X455";108;317424,000000001;7669490,00276244
"X456";108;317424;7671115,93554602
"X457";109;318553,613329712;7670042,79643587
"X458";109;317993,12234695;7669271,34678061
"X459";109;318553,613329712;7670042,79643587
"X460";109;317720,031050181;7670820,12448707
"X461";109;317993,122346949;7669271,34678061
"X462";109;317720,031050182;7670820,12448707
"X463";110;317570,122655783;7670409,3486671
"X465";110;317570,122655784;7670409,3486671
"X469";111;318726,440882075;7670243,10621839
"X471";111;318726,440882077;7670243,10621839
